canonical_model_key,quant,repos,downloads
,none,15,2023
,q2,1,74
,q8,1,430
0-6b-abliterated,q2,1,47
04ac86b67129634da93aea76e0147ef3,none,1,0
111,none,1,0
1234543,none,1,0
128g,none,2,30
1g-act-order,none,1,13
20250409-llama-3-1-8b-gemini-label-nofilter-e1-lr2e-06,none,1,0
20250410-llama-3-1-8b-instruct-prm-soft-label-nofilter-e1-lr2e-05,none,1,0
20250714-05-21-38-global-step2061-mp-rank-00-model-states,none,1,0
20250714-09-31-19-global-step1033-mp-rank-00-model-states,none,1,0
3-8b-unaligned-alpha-rp-soup,none,4,16
3-8b-unaligned-alpha-rp-soup,q3,1,11
3e111mp7cj0-abyssorangemix2sfw-abyssorangemix2sfw,none,1,0
5-veltha-14b-0-5,q2,2,6
8b-rp-unaligned-base,none,1,3
8b-unaligned-base,none,1,3
8b-unaligned-base-v2g,none,1,3
8b-unaligned-base-v2k,none,1,3
8b-unaligned-base-v2l,none,1,3
8b-unaligned-base-v2n,none,1,3
8b-unaligned-base-v2o,none,1,3
8b-unaligned-base-v2y,none,1,3
8b-unaligned-base-v3g,none,1,3
a-x-4-0-abliterated,q2,2,341
abhard,none,1,0
abliterated-3-2,q8,1,8
abliterated-dolphin3-0-r1-mistral-24b,bf16,1,233
abliterated-fusebench-3-2-1b,q2,2,145
abliterated-unhinged-rp-alpha-v1-llama-3-3-70b,q2,2,571
abliterated-unhinged-rp-alpha-v1-llama-3-3-70b,q5,1,0
acegpt-v1-5-13b-chat-xs,q2,1,14
acegpt-v1-5-13b-xs,q2,1,14
acegpt-v2-32b,q2,1,58
acegpt-v2-32b-chat-xs,q2,1,15
acegpt-v2-32b-xs,q2,1,23
acegpt-v2-70b-chat-xs,q2,1,7
acegpt-v2-8b-chat,q2,1,56
acegpt-v2-8b-chat-xs,q2,1,2
acereason-nemotron-14b,none,1,5
acereason-nemotron-14b-abliterated,q2,1,218
acereason-nemotron-7b,none,1,44
