canonical_model_key,family,provider,model_name_raw,downloads_canonical_rep,package_downloads_total,package_repo_count,providers_set,families_set,packagings_set,quant_set,unaligned,params
,[],davidau,llama-3.2-8x3b-moe-dark-champion-instruct-uncensored-abliterated-18.4b,1237,2527,17,"['davidau', 'imi2', 'letuan', 'mav23', 'sometimesanotion', 'tavtav', 'testament200156']",['[]'],"['gguf', 'pt', 'safetensors']","['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
0-6b-abliterated,q3,mradermacher,q3-0.6b-abliterated-gguf,47,47,1,['mradermacher'],['q3'],['gguf'],"['q2', 'q3', 'q4', 'q5', 'q6', 'q8']",True,
04ac86b67129634da93aea76e0147ef3,none,deskpai,ctc_forced_aligner,0,0,1,['deskpai'],['none'],['onnx'],[''],False,
111,none,freedom6756,111,0,0,1,['freedom6756'],['none'],[''],[''],False,
1234543,none,freedommomoh,1234543,0,0,1,['freedommomoh'],['none'],[''],[''],False,
128g,none,ausboss,llama7b-wizardlm-unfiltered-4bit-128g,17,30,2,"['ausboss', 'monero']",['none'],"['bin', 'safetensors']",[''],False,
1g-act-order,none,nkpz,open_llama_7b_qlora_uncensored-gptq,13,13,1,['nkpz'],['none'],"['bin', 'pt', 'safetensors']",[''],True,
20250409-llama-3-1-8b-gemini-label-nofilter-e1-lr2e-06,none,jhyun0414,20250409-llama-3.1-8b-gemini_label-nofilter-e1-lr2e-06,0,0,1,['jhyun0414'],['none'],[''],[''],False,
20250410-llama-3-1-8b-instruct-prm-soft-label-nofilter-e1-lr2e-05,none,jhyun0414,20250410-llama-3.1-8b-instruct-prm_soft_label-nofilter-e1-lr2e-05,0,0,1,['jhyun0414'],['none'],[''],[''],False,
20250714-05-21-38-global-step2061-mp-rank-00-model-states,none,chromatraining,v1_fgo_morgan_chroma-unlocked-v44,0,0,1,['chromatraining'],['none'],"['pt', 'safetensors']",[''],False,
20250714-09-31-19-global-step1033-mp-rank-00-model-states,none,chromatraining,v2_fgo_morgan_chroma-unlocked-v44,0,0,1,['chromatraining'],['none'],"['pt', 'safetensors']",[''],False,
3-8b-unaligned-alpha-rp-soup,3,sicariussicariistuff,llama-3_8b_unaligned_alpha_rp_soup_gguf,11,27,5,['sicariussicariistuff'],['3'],"['gguf', 'safetensors']","['q3', 'q4', 'q5', 'q6']",False,
3e111mp7cj0-abyssorangemix2sfw-abyssorangemix2sfw,none,wmy244552,model-unlock,0,0,1,['wmy244552'],['none'],['safetensors'],[''],False,
5-veltha-14b-0-5,qwen,djuna,deepseek-r1-distill-qwen-14b-abliterated-remap,4,6,2,['djuna'],"['q2.5', 'qwen']",['safetensors'],['q2'],True,
8b-rp-unaligned-base,8b,prunaai,mrrobotoai-8b-rp-unaligned-base-bnb-8bit-smashed,3,3,1,['prunaai'],['8b'],['safetensors'],[''],False,
